description,asin,product_description,Manufacturer
"   Care Instructions: Wipe with Damp Cloth    [Durable & Water-resistant Backpack]--The main body of this bag is made of stability pure PU material,which is Scratch & Water Resistant and This material is skin-friendly and durable.and the zipper Coated by PU material for more water-resistant.The inside of the bag made by mountaineering bag grade polyester for sturdy.Arctic Hunter backpack ensure use it for a long time.    [Large capacity & Multiple compartment]-- This Backpack Dimensions: 46*30*18cm,this 25L backpack can be stored clothing,books,laptop,lunch box,meet your short trip and daily use.Multiple pockets help you store items in an orderly manner,easy to find your stored items.    [Nice protection for your laptop]-- The back and bottom of this backpack have High-density foam to protect laptop when hitting.This laptop/ipad pocket made by EPE Foam Covered by Velvet,which can also protect your laptop.    [Stylish design]-- The stylish exterior design is perfect for men, whether for business,travel or school.The main body is covered by pure PU material,and it is cool in black.this laptop bag is a very nice gift for your friends,classmates, colleagues, family.    [Comfortable and Ergonomic bag]-- This backpack adopts with Ergonomic+Comfortable design.1.Microfiber Leather handle make you comfortable hold this backpack.2.The back pad and sholder strap is breathable.3.Strap that secure this backpack to the trolley trunk can free your hands and back.4.The shoulder strap is thickness and made of running shoe material.5.made by high quality material make sure load large weight for a long time.    
",B0B6FLWDW9,,"‎ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com"
"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser    
",B0BXFDK5J2," 
","‎Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care"
"   MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.    Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.    Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment    Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.    Warranty - Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects    Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects    
",B07M9BRCQ5," 
 Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel  ","‎Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
"   Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>    External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments<br>    The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease<br>    Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey<br>    Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only<br>    
",B07YDGQQN5," 
","‎Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
"   Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty    
› See more product details ",B088XB5XY8,,‎Korrun India Pvt. Ltd
"   Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper    
",B019HA8AYG," 
","‎Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
"   Care Instructions: Hand Wash Only    Outer material: synthetic, color: brown    Waterproof    Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Anti theft waterproof bag with anti sweat fabric on back and shoulder straps    
   USB and headphone cable slot External bottle pocket Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .   Show More  ",B07G4F6XFH," 
 Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.  ","‎Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
"   Care Instructions: Hand Wash Only    Laptop Compatibility: Yes, Laptop Size: 17 inches    Outer Material: Polyester, Color: Black    Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)    Number of compartments: 1; Warranty type: Manufacturer; 18 months    Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult    
",B07BZ5VC4H," 
","‎Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"   Care Instructions: Hand Wash Only    Well Organized compartment ,Security Back Pocket    
",B0BTD4FK9G," 
 A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self  ","‎EXPERTS, China"
"   Premium Durable Material - Travel duffel bag is made of high quality,durable material.    Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.    Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.    Adjustable Shoulder straps - Comfortable and adjustable shoulder strap    Abundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!    
",B07XXFB9CZ," 
 Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.  ","‎Sfane, Sfane Trends"
"   Fits up to 15.6-inch laptops, making it a great choice for students or professionals on the go.    55L capacity offers ample space for all your outdoor and travel essentials, while still being compact enough for everyday use.    Versatile 3-in-1 design lets you use it as an office bag, travel bag, or hiking backpack, making it a great all-purpose bag.    Features a water bottle holder, so you can stay hydrated on the go and keep your water bottle easily accessible.    Durable construction and water-resistant material make this backpack suitable for use in all weather conditions.    
",B082Y7TZ8Z,,‎TSpark
"   Care Instructions: Wipe with Damp Cloth    Fur Jaden Pro Series: Introducing our most premium, stylish and functional range of travel accessories. We craft signature pieces that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication.    Smart Anti-Theft Tech Backpack: Fur Jaden Pro V comes with an in-built USB Type-A and USB Type-C reversible charging port system to facilitiate safe and quick charging on the go. With reversible charging, charge the powerbank directly without having to remove it from your bag. Anti-Theft: This smart tech backpack comes with an anti-theft pocket on the back to store valuable documents, wallets, keys and other smaller essentials while travelling.    Multi Utility Compartments: Unique Barrel styled front compartment is spacious to house t-shirts and denims for a short weekend getaway. It also features a small utility pocket to hold wallets/ cardholders/keys. On the back, a 180 Degree openable padded compartment to store tablets/ kindle devices and laptops upto 15.6 Inches.    Innovative Design: Handcrafted with precision, this uniqely designed structured laptop backpack features two quick access front pockets to hold small accessories plus an additional side pocket to house the power bank which can also be used to store a 500ml water bottle.    Warranty: 1 Year Manufacturer Warranty Against Defects. Product Dimensions: 48 cm (H) x 30 cm (W) x 15 cm (D). Storage Volume: 22L.    
",B0C28QQMFJ," 
 Stay organized all day with Fur Jaden's durable and lightweight pro series backpack. This smart tech laptop backpack is a stylish and functional accessory for men and women. It adds admiration to an appealing and daring personality with remarkable aesthetics and functionality. It comes with a utility pocket in the main compartment which helps keep smaller accessories and belongings in place. Fur Jaden's Pro Series functional backpacks are apt for professionals looking to stay connected to their devices all day long as it features a smart in-built USB Type-A and USB Type-C charging port station which also supports reversible charging. This smart backpack also features an anti-theft pocket on the back to protect your gadgets and belongings from being stolen while you travel, now keep your belongings safe with style. The backpack features a 180 Degree openable padded gadget compartment that you may use to store your laptop and tablets safely. Weighing about 900 grams, this backpack is lightweight and easy to carry all day long. This tech backpack from Fur Jaden is able to house laptops of up to 15.6 inches and has several pockets to place mobile phones, pens, power banks, etc. Made from premium & durable quality PU, Fur Jaden Pro Series backpacks are sturdy and reliable. Flaunt this uniquely designed handcrafted Fur Jaden bag with style as it helps elevate your style quotient. This backpack is suitable for working professionals and uber cool college students . The straps are designed to distribute weight equally on each shoulder preventing any sort of discomfort. This stylish laptop backpack comes with a convenient grab handle which not only adds convenience but also helps grab a lot of attention.  ","‎Fur Jaden, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
"   Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>    Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>    
",B09VTDMRY7," 
 Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.  ","‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
"   The zebronics Camp 1 comes with 1 compartments,utility pocket and with padded straps for easy to carry.    It has capacious multi utility front pocket that is constructed to keep your essentials for quick access.    The main compartment can easily accommodate a days clothing,books,wallet and perfume and gets you going without any hassle of space    Water-resistant, good quality zipper, Light Weight    It has a Padded Adjustable Shoulder Straps and a trolley support strap for maximum comfort and to make your travel journey happier.    
› See more product details ",B0C6KZS555," 
 Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags  ",‎Zebronics India Private Limited
"   Care Instructions: Hand Wash Only    Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,    Water Resistance Level: Not Water Resistant    Size: 35 x 13 x 46 cms    
",B08Z1HHHTD," 
 Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack  ",‎VIP Industries Ltd
"   Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support    
",B07CJCGM1M,,‎Samsonite
"   This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    
",B09VCLZ3K4," 
 This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.  ",‎Amazing Bags
"   Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>    Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>    
",B09VTDMRY7," 
 Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.  ","‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
